document_id,title,issuer,date,use,url
cc-rr7,Independence of charities from the state (RR7),Charity Commission,2009,charity law / independence,https://www.gov.uk/government/publications/independence-of-charities-from-the-state-rr7
mhclg-la-2026,Local authority revenue expenditure and financing 2026–27,MHCLG,2026,local-government finance,https://www.gov.uk/government/statistics/local-authority-revenue-expenditure-and-financing-england-2026-to-2027-budget/local-authority-revenue-expenditure-and-financing-2026-27-budget-england
dcms-libraries,Libraries as a statutory service,DCMS,updated 2025,local statutory culture,https://www.gov.uk/government/publications/guidance-on-libraries-as-a-statutory-service/libraries-as-a-statutory-service
plma1964,Public Libraries and Museums Act 1964,UK Parliament,1964,primary law,https://www.legislation.gov.uk/ukpga/1964/75/contents
nt-charity,Royal National Theatre charity register/accounts,Charity Commission,2025,finance/governance,https://register-of-charities.charitycommission.gov.uk/en/charity-search/-/charity-details/224223/full-print
rsc-charity,Royal Shakespeare Company charity register/accounts,Charity Commission,2025,finance/governance,https://register-of-charities.charitycommission.gov.uk/en/charity-search/-/charity-details/212481/accounts-and-annual-returns
rbo-charity,Royal Opera House Covent Garden Foundation accounts,Charity Commission,2024,finance/governance,https://register-of-charities.charitycommission.gov.uk/en/charity-search/-/charity-details/211775/accounts-and-annual-returns
ram-charity,Royal Academy of Music charity register,Charity Commission,2025,finance/governance,https://register-of-charities.charitycommission.gov.uk/en/charity-search/-/charity-details/310007
rcm-charity,Royal College of Music charity register,Charity Commission,2025,finance/governance,https://register-of-charities.charitycommission.gov.uk/en/about-the-register-of-charities/-/charity-details/309268/full-print
