source_id,title,issuer,date,locator,url
DCMS-MUSEUM-PI-2425,DCMS-sponsored museums and galleries annual performance indicators 2024/25,DCMS,2026-04-29,15 sponsored museums; individual-institution tables available; annual reports are source system,https://www.gov.uk/government/statistics/dcms-sponsored-museums-and-galleries-annual-performance-indicators-202425/dcms-sponsored-museums-and-galleries-annual-performance-indicators-202425-headline-release
DCMS-MUSEUM-PI-TECH,Technical report: DCMS-sponsored museums and galleries annual performance indicators 2024/25,DCMS,2026-04-29,Technical definitions and reporting population,https://www.gov.uk/government/statistics/dcms-sponsored-museums-and-galleries-annual-performance-indicators-202425/technical-report-dcms-sponsored-museums-and-galleries-annual-performance-indicators-202425
