discipline,organisations,joiners,annual_investment_gbp,source_document_id,locator
Museums,82,28,37626940,doc-ace-2023-26-factsheet,"p.3, Investment by discipline"
Music,139,44,65129380,doc-ace-2023-26-factsheet,"p.3, Investment by discipline"
Theatre,196,48,111870446,doc-ace-2023-26-factsheet,"p.3, Investment by discipline"
Visual Arts,159,23,47864478,doc-ace-2023-26-factsheet,"p.3, Investment by discipline"
Combined Arts,227,70,81941600,doc-ace-2023-26-factsheet,"p.3, Investment by discipline"
Dance,75,22,46907702,doc-ace-2023-26-factsheet,"p.3, Investment by discipline"
Libraries,18,11,4162720,doc-ace-2023-26-factsheet,"p.3, Investment by discipline"
Literature,59,15,16027669,doc-ace-2023-26-factsheet,"p.3, Investment by discipline"
Not discipline specific,35,15,34733550,doc-ace-2023-26-factsheet,"p.3, Investment by discipline"
