programme_id,programme,start,end,allocation_gbp,funding_source,source_document_id,notes
bfi-audiences-23-26,Audiences,2023-04-01,2026-03-31,27600000,National Lottery,doc-bfi-audience-plan-2022,"Includes £15m Audience Projects Fund, £9.9m FAN and £2.7m Open Cinemas."
bfi-filmmakers-23-26,Filmmakers,2023-04-01,2026-03-31,54000000,National Lottery,doc-bfi-audience-plan-2022,Funding-plan allocation; not a recipient award.
bfi-education-skills-23-26,Education and skills,2023-04-01,2026-03-31,34200000,National Lottery,doc-bfi-audience-plan-2022,Funding-plan allocation; not a recipient award.
bfi-screenheritage-23-26,Screen heritage,2023-04-01,2026-03-31,10000000,National Lottery,doc-bfi-audience-plan-2022,Funding-plan allocation.
bfi-innovation-industry-23-26,Innovation and industry services,2023-04-01,2026-03-31,7300000,National Lottery,doc-bfi-audience-plan-2022,Funding-plan allocation.
bfi-international-23-26,International,2023-04-01,2026-03-31,3200000,National Lottery,doc-bfi-audience-plan-2022,Funding-plan allocation.
