entity_id,reporting_entity,period_start,period_end,money_type,account_heading,amount_gbp,unit,restriction_status,source_id,locator,verification_status,notes
arts-council-england,Arts Council England,2024-04-01,2025-03-31,total_income,Total income,843062000,GBP,not stated in summary,ACE-REV1,Summary of financial information (from ACE ARA 2024-25),verified,Official summary derived from ACE audited accounts
arts-council-england,Arts Council England,2024-04-01,2025-03-31,taxpayer_central,Taxpayer operating grant (Grant-in-Aid),578077000,GBP,not stated in summary,ACE-REV1,Summary of financial information,verified,Official summary derived from ACE audited accounts
arts-council-england,Arts Council England,2024-04-01,2025-03-31,national_lottery,National Lottery,250259000,GBP,not stated in summary,ACE-REV1,Summary of financial information,verified,Official summary derived from ACE audited accounts
arts-council-england,Arts Council England,2024-04-01,2025-03-31,lottery_investment_return,Investment returns on Lottery Distribution Fund,12035000,GBP,not stated in summary,ACE-REV1,Summary of financial information,verified,Official summary derived from ACE audited accounts
arts-council-england,Arts Council England,2024-04-01,2025-03-31,other,Other income,2691000,GBP,not stated in summary,ACE-REV1,Summary of financial information,verified,Official summary derived from ACE audited accounts
arts-council-england,Arts Council England,2024-04-01,2025-03-31,total_expenditure,Total expenditure,731085000,GBP,not stated in summary,ACE-REV1,Summary of financial information,verified,Official summary derived from ACE audited accounts
