institution,person_a,role_a,person_b,role_b,start,end,approx_years,source_ids,interpretation
National Portrait Gallery,John Hayes,Director,Charles Saumarez Smith,Director,1994,1994,1,NPG-DIR;NPG-DIR,institutional overlap only
National Portrait Gallery,Charles Saumarez Smith,Director,Sandy Nairne,Director,2002,2002,1,NPG-DIR;NPG-DIR,institutional overlap only
National Portrait Gallery,Sandy Nairne,Director,Nicholas Cullinan,Director,2015,2015,1,NPG-DIR;NPG-DIR,institutional overlap only
National Portrait Gallery,Nicholas Cullinan,Director,Victoria Siddall,Director,2024,2024,1,NPG-DIR;NPG-DIR,institutional overlap only
National Museum of Antiquities of Scotland,William T McCulloch,Director,Joseph Anderson,Director,1869,1869,1,NMS-HIST;NMS-HIST,institutional overlap only
National Museum of Antiquities of Scotland,Joseph Anderson,Director,Alexander O Curle,Director,1913,1913,1,NMS-HIST;NMS-HIST,institutional overlap only
National Museum of Antiquities of Scotland,Alexander O Curle,Director,John G Callander,Director,1919,1919,1,NMS-HIST;NMS-HIST,institutional overlap only
National Museum of Antiquities of Scotland,John G Callander,Director,Arthur J H Edwards,Director,1938,1938,1,NMS-HIST;NMS-HIST,institutional overlap only
National Museum of Antiquities of Scotland,Arthur J H Edwards,Director,Gordon V Childe,Director,1944,1944,1,NMS-HIST;NMS-HIST,institutional overlap only
National Museum of Antiquities of Scotland,Robert B K Stevenson,Director,Alexander Fenton,Director,1978,1978,1,NMS-HIST;NMS-HIST,institutional overlap only
Royal Scottish Museum / predecessor,Thomas C Archer,Director,Robert Murdoch Smith,Director,1885,1885,1,NMS-HIST;NMS-HIST,institutional overlap only
Royal Scottish Museum / predecessor,Robert Murdoch Smith,Director,Francis Grant Ogilvie,Director,1900,1900,1,NMS-HIST;NMS-HIST,institutional overlap only
Royal Scottish Museum / predecessor,Francis Grant Ogilvie,Director,James J Dobbie,Director,1903,1903,1,NMS-HIST;NMS-HIST,institutional overlap only
Royal Scottish Museum / predecessor,James J Dobbie,Director,David J Vallance,Acting Director,1909,1909,1,NMS-HIST;NMS-HIST,institutional overlap only
Royal Scottish Museum / predecessor,David J Vallance,Acting Director,Thomas Carlaw Martin,Director,1911,1911,1,NMS-HIST;NMS-HIST,institutional overlap only
Royal Scottish Museum / predecessor,Thomas Carlaw Martin,Director,Alexander O Curle,Director,1916,1916,1,NMS-HIST;NMS-HIST,institutional overlap only
Royal Scottish Museum / predecessor,Alexander O Curle,Director,Edwin Ward,Director,1931,1931,1,NMS-HIST;NMS-HIST,institutional overlap only
Royal Scottish Museum / predecessor,Edwin Ward,Director,Thomas Rowatt,Director,1934,1934,1,NMS-HIST;NMS-HIST,institutional overlap only
Royal Scottish Museum / predecessor,Douglas A Allan,Director,Ian Finlay,Director,1961,1961,1,NMS-HIST;NMS-HIST,institutional overlap only
Royal Scottish Museum / predecessor,Ian Finlay,Director,Norman Tebble,Director,1971,1971,1,NMS-HIST;NMS-HIST,institutional overlap only
Royal Scottish Museum / predecessor,Norman Tebble,Director,Robert Anderson,Director,1984,1984,1,NMS-HIST;NMS-HIST,institutional overlap only
National Museums Scotland,Robert Anderson,Director,Mark Jones,Director,1992,1992,1,NMS-HIST;NMS-HIST,institutional overlap only
National Museums Scotland,Gordon Rintoul,Director,Chris Breward,Director,2020,2020,1,NMS-HIST;NMS-HIST,institutional overlap only
Royal Shakespeare Company,Peter Hall,Artistic Director,Trevor Nunn,Artistic Director,1968,1968,1,RSC-HIST;RSC-HIST,institutional overlap only
