person_id,canonical_name,birth_date,death_date,legacy_life_source_id,introduced_in,last_modified_in,last_verified
P000097,Nicholas Serota,1946-04-27,,BIO-SEROTA,C51,C51,2026-09-20
P000098,Nick Clarry,,,,C51,C51,2026-09-20
P000099,Nigel Newton,,,,C51,C51,2026-09-20
P000100,Norman Boyd Kinnear,,,,C51,C51,2026-09-20
P000101,Norman Reid,,,,C51,C51,2026-09-20
P000102,Norman Tebble,,,,C51,C51,2026-09-20
P000103,Oliver Mears,,,,C51,C51,2026-09-20
P000104,Patricia Rubin,,,,C51,C51,2026-09-20
P000105,Paul Findlay,,,,C51,C51,2026-09-20
P000106,Pedro Pina,,,,C51,C51,2026-09-20
P000107,Peter Hall,1930-11-22,2017-09-11,BIO-HALL,C51,C51,2026-09-20
P000108,Peter Lawson,,,,C51,C51,2026-09-20
P000109,Richard Eyre,1943-03-28,,BIO-EYRE,C51,C51,2026-09-20
P000110,Richard Owen,1804-07-20,1892-12-18,BIO-OWEN,C51,C51,2026-09-20
P000111,Robert Anderson,,,,C51,C51,2026-09-20
P000112,Robert B K Stevenson,,,,C51,C51,2026-09-20
P000113,Robert Murdoch Smith,,,,C51,C51,2026-09-20
P000114,Ronald Hedley,,,,C51,C51,2026-09-20
P000115,Rufus Norris,1965-01-16,,BIO-NORRIS,C51,C51,2026-09-20
P000116,Sandy Nairne,,,,C51,C51,2026-09-20
P000117,Sanjeev Gupta,,,,C51,C51,2026-09-20
P000118,Sarah Sands,,,,C51,C51,2026-09-20
P000119,Sidney Frederick Harmer,,,,C51,C51,2026-09-20
P000120,Simon Patterson,,,,C51,C51,2026-09-20
P000121,Sir Augustus Moore Daniel,,,,C51,C51,2026-09-20
P000122,Sir Caspar Purdon Clarke,,,,C51,C51,2026-09-20
P000123,Sir Cecil Harcourt Smith,,,,C51,C51,2026-09-20
P000124,Sir Charles Holroyd,,,,C51,C51,2026-09-20
P000125,Sir Charles John Holmes,,,,C51,C51,2026-09-20
P000126,Sir Charles Lock Eastlake,1793-11-17,1865-12-24,BIO-EASTLAKE,C51,C51,2026-09-20
P000127,Sir David Piper,,,,C51,C51,2026-09-20
P000128,Sir Edward John Poynter,,,,C51,C51,2026-09-20
P000129,Sir Eric Maclagan,,,,C51,C51,2026-09-20
P000130,Sir Frederic William Burton,,,,C51,C51,2026-09-20
P000131,Sir George Scharf,1820-12-16,1895-04-19,BIO-SCHARF,C51,C51,2026-09-20
P000132,Sir Henry Cole,1808-07-15,1882-04-18,BIO-COLE,C51,C51,2026-09-20
P000133,Sir Henry Hake,,,,C51,C51,2026-09-20
P000134,Sir Isaac Julien,,,,C51,C51,2026-09-20
P000135,Sir John Kingman,,,,C51,C51,2026-09-20
P000136,Sir John Pope-Hennessy,1913-12-13,1994-10-31,BIO-POPEH,C51,C51,2026-09-20
P000137,Sir Leigh Ashton,,,,C51,C51,2026-09-20
P000138,Sir Lionel Cust,,,,C51,C51,2026-09-20
P000139,Sir Mark Jones,,,,C51,C51,2026-09-20
P000140,Sir Martin Davies,,,,C51,C51,2026-09-20
P000141,Sir Michael Levey,,,,C51,C51,2026-09-20
P000142,Sir Nicholas Penny,,,,C51,C51,2026-09-20
P000143,Sir Philip Cunliffe-Owen,,,,C51,C51,2026-09-20
P000144,Sir Philip Hendy,,,,C51,C51,2026-09-20
P000145,Sir Roy Strong,1935-08-23,,BIO-STRONG,C51,C51,2026-09-20
P000146,Sir Stephen Deuchar,,,,C51,C51,2026-09-20
P000147,Sir Trenchard Cox,,,,C51,C51,2026-09-20
P000148,Sir William Boxall,,,,C51,C51,2026-09-20
P000149,Stuart Roden,,,,C51,C51,2026-09-20
P000150,Stuart Stratford,,,,C51,C51,2026-09-20
P000151,Tamara Harvey,,,,C51,C51,2026-09-20
P000152,Terence Morrison-Scott,,,,C51,C51,2026-09-20
P000153,Terry Hands,,,,C51,C51,2026-09-20
P000154,Thomas C Archer,,,,C51,C51,2026-09-20
P000155,Thomas Carlaw Martin,,,,C51,C51,2026-09-20
P000156,Thomas Rowatt,,,,C51,C51,2026-09-20
P000157,Tiffany Jenkins,,,,C51,C51,2026-09-20
P000158,Tim Richards,,,,C51,C51,2026-09-20
P000159,Tom Holland,1968-01-05,,BIO-HOLLAND,C51,C51,2026-09-20
P000160,Tony Hall,,,,C51,C51,2026-09-20
P000161,Tonya Nelson,,,,C51,C51,2026-09-20
P000162,Trevor Nunn,1940-01-14,,BIO-NUNN,C51,C51,2026-09-20
P000163,Tristram Hunt,1974-05-31,,BIO-HUNT,C51,C51,2026-09-20
P000164,Victoria Nwosu-Hope,,,,C51,C51,2026-09-20
P000165,Victoria Siddall,1977,,BIO-SIDDALL,C51,C51,2026-09-20
P000166,William Henry Flower,,,,C51,C51,2026-09-20
P000167,William T McCulloch,,,,C51,C51,2026-09-20
