data_item,original_description,normalised_service,normalised_measure,start_period,end_period,form,row_number,column_number,mapping_status
RO5_culspr_cmm_cen_pub_hll_oth_inc,Other income - Community centres and public halls,community_centres_public_halls,other_income,201803,nan,RO5,121.0,5.0,exact
RO5_culspr_cmm_cen_pub_hll_tot_inc,Total income - Community centres and public halls,community_centres_public_halls,total_income,201803,nan,RO5,121.0,6.0,exact
RO5_culspr_cmm_cen_pub_hll_net_cur_exp,NET current expenditure - Community centres and public halls,community_centres_public_halls,net_current_expenditure,201803,nan,RO5,121.0,7.0,exact
RO5_culspr_spr_dvl_cmm_rec_empl,Employees - Sports development and community recreation,sports_development_community_recreation,employees,201803,nan,RO5,123.0,1.0,exact
RO5_culspr_spr_dvl_cmm_rec_run_exp,Running expenses - Sports development and community recreation,sports_development_community_recreation,running_expenses,201803,nan,RO5,123.0,2.0,exact
RO5_culspr_spr_dvl_cmm_rec_tot_exp,Total expenditure - Sports development and community recreation,sports_development_community_recreation,total_expenditure,201803,nan,RO5,123.0,3.0,exact
RO5_culspr_spr_dvl_cmm_rec_sfc,"Sales, Fees and Charges - Sports development and community recreation",sports_development_community_recreation,sales_fees_charges,201803,nan,RO5,123.0,4.0,exact
RO5_culspr_spr_dvl_cmm_rec_oth_inc,Other income - Sports development and community recreation,sports_development_community_recreation,other_income,201803,nan,RO5,123.0,5.0,exact
RO5_culspr_spr_dvl_cmm_rec_tot_inc,Total income - Sports development and community recreation,sports_development_community_recreation,total_income,201803,nan,RO5,123.0,6.0,exact
RO5_culspr_spr_dvl_cmm_rec_net_cur_exp,NET current expenditure - Sports development and community recreation,sports_development_community_recreation,net_current_expenditure,201803,nan,RO5,123.0,7.0,exact
RO5_culspr_spr_lsr_fcl_empl,Employees - Sports and leisure facilities (including golf courses),sports_leisure_facilities,employees,202003,nan,RO5,129.0,1.0,exact
RO5_culspr_spr_lsr_fcl_run_exp,Running expenses - Sports and leisure facilities (including golf courses),sports_leisure_facilities,running_expenses,202003,nan,RO5,129.0,2.0,exact
RO5_culspr_spr_lsr_fcl_tot_exp,Total expenditure - Sports and leisure facilities (including golf courses),sports_leisure_facilities,total_expenditure,202003,nan,RO5,129.0,3.0,exact
RO5_culspr_spr_lsr_fcl_sfc,"Sales, Fees and Charges - Sports and leisure facilities (including golf courses)",sports_leisure_facilities,sales_fees_charges,202003,nan,RO5,129.0,4.0,exact
RO5_culspr_spr_lsr_fcl_oth_inc,Other income - Sports and leisure facilities (including golf courses),sports_leisure_facilities,other_income,202003,nan,RO5,129.0,5.0,exact
RO5_culspr_spr_lsr_fcl_tot_inc,Total income - Sports and leisure facilities (including golf courses),sports_leisure_facilities,total_income,202003,nan,RO5,129.0,6.0,exact
RO5_culspr_spr_lsr_fcl_net_cur_exp,NET current expenditure - Sports and leisure facilities (including golf courses),sports_leisure_facilities,net_current_expenditure,202003,nan,RO5,129.0,7.0,exact
RO5_culprk_opn_empl,Employees - Parks and Open Spaces (including play areas),parks_open_spaces,employees,202003,nan,RO5,131.0,1.0,exact
RO5_culprk_opn_run_exp,Running expenses - Parks and Open Spaces (including play areas),parks_open_spaces,running_expenses,202003,nan,RO5,131.0,2.0,exact
RO5_culprk_opn_tot_exp,Total expenditure - Parks and Open Spaces (including play areas),parks_open_spaces,total_expenditure,202003,nan,RO5,131.0,3.0,exact
RO5_culprk_opn_sfc,"Sales, Fees and Charges - Parks and Open Spaces (including play areas)",parks_open_spaces,sales_fees_charges,202003,nan,RO5,131.0,4.0,exact
RO5_culprk_opn_oth_inc,Other income - Parks and Open Spaces (including play areas),parks_open_spaces,other_income,202003,nan,RO5,131.0,5.0,exact
RO5_culprk_opn_tot_inc,Total income - Parks and Open Spaces (including play areas),parks_open_spaces,total_income,202003,nan,RO5,131.0,6.0,exact
RO5_culprk_opn_net_cur_exp,NET current expenditure - Parks and Open Spaces (including play areas),parks_open_spaces,net_current_expenditure,202003,nan,RO5,131.0,7.0,exact
RO5_culall_empl,Employees - Allotments,allotments,employees,202003,nan,RO5,137.0,1.0,exact
RO5_culall_run_exp,Running expenses - Allotments,allotments,running_expenses,202003,nan,RO5,137.0,2.0,exact
RO5_culall_tot_exp,Total expenditure - Allotments,allotments,total_expenditure,202003,nan,RO5,137.0,3.0,exact
RO5_culall_sfc,"Sales, Fees and Charges - Allotments",allotments,sales_fees_charges,202003,nan,RO5,137.0,4.0,exact
RO5_culall_oth_inc,Other income - Allotments,allotments,other_income,202003,nan,RO5,137.0,5.0,exact
RO5_culall_tot_inc,Total income - Allotments,allotments,total_income,202003,nan,RO5,137.0,6.0,exact
RO5_culall_net_cur_exp,NET current expenditure - Allotments,allotments,net_current_expenditure,202003,nan,RO5,137.0,7.0,exact
RO5_cultrs_empl,Employees - Tourism,tourism,employees,201803,nan,RO5,140.0,1.0,exact
RO5_cultrs_run_exp,Running expenses - Tourism,tourism,running_expenses,201803,nan,RO5,140.0,2.0,exact
